sensor_type	dt	px	py	vx	vy	estimate_x	estimate_y	estimate_vx	estimate_vy	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS_lidar	NIS_radar
L	1477010443000000	0.6	0.6	5.19994	0	0.312243	0.58034	5.2	0	0.287757	0.0196602	6.29425e-05	0	0	0
R	1477010443050000	0.859997	0.600045	5.19975	0.00179686	0.715447	0.479493	5.36864	-0.135478	0.227705	0.0863693	0.119425	0.0970682	0	11.6164
L	1477010443100000	1.11998	0.600225	5.19943	0.00538996	1.00296	0.489536	5.39058	-0.11363	0.197815	0.0951687	0.147266	0.104897	1.44065	11.6164
R	1477010443150000	1.37996	0.600629	5.19898	0.0107781	1.26513	0.497912	5.35055	-0.0933779	0.180678	0.0971108	0.148354	0.104712	1.44065	3.89611
L	1477010443200000	1.6399	0.601347	5.19839	0.0179597	1.54985	0.510233	5.37038	-0.0659575	0.166546	0.0959415	0.153372	0.100897	1.1978	3.89611
R	1477010443250000	1.89982	0.60247	5.19766	0.0269323	1.82075	0.524449	5.37238	-0.00718264	0.155424	0.0931943	0.157132	0.0931527	1.1978	0.983443
L	1477010443300000	2.1597	0.604086	5.19678	0.0376932	2.1031	0.538056	5.38816	0.0229865	0.145477	0.0898181	0.162468	0.0864216	0.992197	0.983443
R	1477010443350000	2.41954	0.606284	5.19573	0.0502389	2.36074	0.570486	5.35015	0.141404	0.13766	0.0849651	0.161484	0.0870287	0.992197	4.39573
L	1477010443400000	2.67932	0.609155	5.1945	0.0645654	2.63297	0.586832	5.35416	0.177293	0.130704	0.0804507	0.161282	0.0902462	0.33686	4.39573
R	1477010443450000	2.93904	0.612786	5.19309	0.080668	2.89824	0.606941	5.34258	0.224893	0.124666	0.0763446	0.160142	0.0970053	0.33686	0.280369
L	1477010443500000	3.19869	0.617267	5.19147	0.0985415	3.14874	0.618642	5.31967	0.25758	0.119814	0.0727929	0.157506	0.104182	0.943343	0.280369
R	1477010443550000	3.45825	0.622685	5.18963	0.11818	3.41792	0.59405	5.32172	0.161875	0.115303	0.0701824	0.155547	0.100541	0.943343	2.24184
L	1477010443600000	3.71772	0.62913	5.18754	0.139576	3.70687	0.565295	5.35285	0.0534205	0.11082	0.0697147	0.156319	0.0995088	5.01582	2.24184
R	1477010443650000	3.97708	0.636689	5.18519	0.162724	3.9839	0.589263	5.37155	0.108933	0.106805	0.068364	0.158654	0.0969607	5.01582	1.21446
L	1477010443700000	4.23632	0.645449	5.18256	0.187614	4.25927	0.592341	5.38004	0.104646	0.103353	0.0674544	0.161533	0.0960913	0.136864	1.21446
