sensor_type	dt	px	py	vx	vy	estimate_x	estimate_y	estimate_vx	estimate_vy	rmse_x	rmse_y	rmse_vx	rmse_vy	NIS_lidar	NIS_radar
R	11477010443000000	0.359997	0.600041	-4.80025	0.0016588	0.201778	0.385989	-5.2	-0	0.158219	0.214052	0.39975	0.0016588	0	0
L	11477010443050000	0.119984	0.600207	-4.80057	0.00497648	-0.00791975	0.433355	-5.14047	-0.0894807	0.143862	0.191909	0.371035	0.0668016	6.16546	0
R	11477010443100000	-0.120044	0.600581	-4.801	0.00995308	-0.10183	0.509581	-4.95677	-0.193371	0.117933	0.165266	0.316016	0.129442	6.16546	9.41108
L	11477010443150000	-0.360093	0.601244	-4.80155	0.0165887	-0.350035	0.501943	-4.95681	-0.194795	0.102256	0.151492	0.284475	0.154069	0.223766	9.41108
R	11477010443200000	-0.60017	0.602281	-4.80221	0.0248832	-0.594487	0.511608	-4.94307	-0.116745	0.0914962	0.141436	0.262124	0.151662	0.223766	1.73697
L	11477010443250000	-0.840279	0.603774	-4.80296	0.0348368	-0.845113	0.508031	-4.94911	-0.118931	0.0835475	0.1349	0.246612	0.152015	0.270177	1.73697
R	11477010443300000	-1.08042	0.605806	-4.8038	0.0464493	-1.09494	0.550699	-4.93294	0.0960249	0.0775444	0.126618	0.233478	0.141981	0.270177	5.04081
L	11477010443350000	-1.32061	0.608459	-4.80472	0.0597206	-1.3339	0.553586	-4.9191	0.127345	0.0726881	0.120019	0.222111	0.134946	0.649236	5.04081
R	11477010443400000	-1.56084	0.611818	-4.8057	0.0746505	-1.55984	0.59289	-4.84419	0.296913	0.0685318	0.11333	0.209801	0.147228	0.649236	6.19769
L	11477010443450000	-1.80112	0.615965	-4.80673	0.0912385	-1.77637	0.60484	-4.79777	0.357446	0.0654844	0.107572	0.199055	0.16308	4.64422	6.19769
R	11477010443500000	-2.04145	0.620982	-4.80778	0.109484	-2.00293	0.634179	-4.76202	0.435628	0.0635079	0.102643	0.190292	0.183976	4.64422	1.28842
L	11477010443550000	-2.28182	0.626953	-4.80884	0.129387	-2.24589	0.667352	-4.76495	0.495698	0.0616827	0.0989629	0.182631	0.205447	0.772924	1.28842
